Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,PlayerType,W,L,QS,ERA,GS,SV,HLD,BS,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,FPTS/IP,SPTS/IP
Corey Braun,ATH,1,,,4.0,,,,1.0,2.0,,2.0,0.0,2.0,0.0,,,,,,0.28009,0.107076,0.134963,,,,,,,,0.292904,,,,,,,,,,-0.0227729,999.0,,,,,,,-0.6200739860534679,,1.2702202796936035,,,,,,,,,,,,,,,,,,,,Corey Braun,sa3027612,701409,Pitcher,0.0,0.0,0.0,6.02103,1.0,0.0,0.0,,3.25404,16.0,2.0,5.88287,4.6673,1.26044,1.74088,0.0278871953487396,1.7138,0.681293,,,6.07028,0.00290501,-0.1905548835215723,0.3903512853107862
Michael Kopech,,13,,,11.0,,,,2.0,7.0,,7.0,,14.0,1.0,,,,,,0.225664,0.122371,0.25239,,,,,,,,0.278146,,,,,,,,,,-0.0227777,999.0,,,,,,,46.99999999999999,,43.0,,,,,,,,,,,,,,,,,,,,Michael Kopech,17282,656629,Pitcher,1.0,1.0,0.0,4.37758,0.0,0.0,0.0,,13.0,57.0,6.0,9.7939,4.74856,2.0625,1.33553,0.1300191134214401,1.36851,0.731534,,,4.61433,-0.0111462,3.615384615384615,3.3076923076923075
Jay Schueler,TOR,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.276118,0.118595,0.118972,,,,,,,,0.280332,,,,,,,,,,-0.0227901,999.0,,,,,,,6.582202744483949,,5.879866719245911,,,,,,,,,,,,,,,,,,,,Jay Schueler,sa3025300,700849,Pitcher,0.0,0.0,0.0,6.22091,0.0,0.0,0.0,,1.37597,6.0,1.0,4.57171,4.55722,1.00318,1.58524,0.000377245247364,1.53106,0.604224,,,6.08463,-0.0298583,4.783670246162423,4.273241735045117
Zachary Redner,LAA,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.278585,0.0953306,0.118826,,,,,,,,0.285559,,,,,,,,,,-0.022806,999.0,,,,,,,7.686290621757508,,8.382628798484802,,,,,,,,,,,,,,,,,,,,Zachary Redner,sa3067318,828412,Pitcher,0.0,0.0,0.0,5.78984,0.0,0.0,0.0,,1.87653,8.0,1.0,4.59896,3.6896,1.24647,1.50071,0.0234958827495574,1.48004,0.623617,,,5.65849,-0.00218816,4.096021907527006,4.467100307665646
Angel Cruz,,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.246119,0.149428,0.19018,,,,,,,,0.2752,,,,,,,,,,-0.0228165,999.0,,,,,,,4.853300595283509,,4.711689591407776,,,,,,,,,,,,,,,,,,,,Angel Cruz,sa3020988,807654,Pitcher,0.0,0.0,0.0,5.68628,0.0,0.0,0.0,,1.14234,6.0,1.0,9.44598,7.42191,1.27272,1.91789,0.0407514572143554,1.96198,0.764533,,,6.49948,-0.0394758,4.248568236782719,4.1246022879952
Kevin Velasco,BAL,1,,,3.0,,,,1.0,2.0,,1.0,0.0,2.0,0.0,,,,,,0.279923,0.115256,0.125967,,,,,,,,0.285889,,,,,,,,,,-0.0228242,999.0,,,,,,,1.7965123176574709,,2.119265079498291,,,,,,,,,,,,,,,,,,,,Kevin Velasco,sa3021524,808280,Pitcher,0.0,0.0,0.0,6.34616,1.0,0.0,0.0,,2.82385,12.0,2.0,4.91716,4.49905,1.09293,1.68397,0.0107111111283302,1.55935,0.608292,,,6.13212,-0.0280218,0.6361918653493074,0.7504870358215543
Chance Huff,WSN,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.277701,0.130349,0.116314,,,,,,,,0.293922,,,,,,,,,,-0.0228349,999.0,,,,,,,5.489935207366943,,6.898604869842529,,,,,,,,,,,,,,,,,,,,Chance Huff,sa3020317,680770,Pitcher,0.0,0.0,0.0,5.77277,0.0,0.0,0.0,,1.57972,7.0,1.0,4.7485,5.32147,0.892329,1.1729,-0.0140348002314567,1.67087,0.651901,,,5.71953,-0.0165492,3.4752562622343164,4.366976816489406
Oswal Rodriguez,KCR,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.284852,0.126058,0.10419,,,,,,,,0.29024,,,,,,,,,,-0.0228463,999.0,,,,,,,4.6609145402908325,,4.581699013710022,,,,,,,,,,,,,,,,,,,,Oswal Rodriguez,sa3024953,827745,Pitcher,0.0,0.0,0.0,6.31668,0.0,0.0,0.0,,1.11634,5.0,1.0,4.40876,5.33411,0.826522,1.52614,-0.0218683555722236,1.74642,0.649326,,,6.31375,-0.0395048,4.1751754518135815,4.10421540328155
Chase Jessee,KCR,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.265224,0.133661,0.151173,,,,,,,,0.289963,,,,,,,,,,-0.022864,999.0,,,,,,,4.592404437065125,,6.292165160179138,,,,,,,,,,,,,,,,,,,,Chase Jessee,sa3075101,829524,Pitcher,0.0,0.0,0.0,5.59707,0.0,0.0,0.0,,1.45843,7.0,1.0,6.76783,5.98383,1.13102,1.43231,0.0175122916698455,1.79105,0.708948,,,5.88449,-0.0221661,3.148862056871123,4.314332589817923
Angel Anazco,,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.262444,0.149309,0.151811,,,,,,,,0.286919,,,,,,,,,,-0.0229255,999.0,,,,,,,4.399539160728455,,4.405094027519226,,,,,,,,,,,,,,,,,,,,Angel Anazco,sa3021494,807816,Pitcher,0.0,0.0,0.0,5.79048,0.0,0.0,0.0,,1.08102,6.0,1.0,7.48594,7.36252,1.01676,1.59472,0.002502903342247,2.02226,0.743742,,,6.4468,-0.0454531,4.069808164602559,4.0749467123896
Martin Gonzalez,SEA,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.270988,0.109919,0.117032,,,,,,,,0.274371,,,,,,,,,,-0.0229338,999.0,,,,,,,3.718638539314272,,3.9450260400772095,,,,,,,,,,,,,,,,,,,,Martin Gonzalez,sa3018434,703203,Pitcher,0.0,0.0,0.0,5.90797,0.0,0.0,0.0,,0.989005,5.0,1.0,5.17691,4.86228,1.06471,1.77637,0.0071126893162727,1.70986,0.692613,,,6.34735,-0.0552714,3.759978723242689,3.988882978678524
Yan Mago,ARI,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.280581,0.11922,0.106619,,,,,,,,0.285685,,,,,,,,,,-0.0229819,999.0,,,,,,,5.109519815444948,,4.88481068611145,,,,,,,,,,,,,,,,,,,,Yan Mago,sa3019047,700366,Pitcher,0.0,0.0,0.0,6.11987,0.0,0.0,0.0,,1.17696,5.0,1.0,4.22089,4.71976,0.894301,1.44246,-0.0126014649868011,1.59637,0.62222,,,6.01554,-0.0362934,4.341277984951801,4.150354995819944
Ismael Obregon,HOU,1,,,3.0,,,,0.0,2.0,,1.0,0.0,1.0,0.0,,,,,,0.283961,0.114122,0.115783,,,,,,,,0.291003,,,,,,,,,,-0.0229836,999.0,,,,,,,6.105002164840699,,9.070947408676147,,,,,,,,,,,,,,,,,,,,Ismael Obregon,sa3067604,830014,Pitcher,0.0,0.0,0.0,6.22193,1.0,0.0,0.0,,2.01419,10.0,1.0,5.24644,5.17117,1.01456,1.76014,0.0016611069440841,1.82382,0.689502,,,6.41779,-0.0727923,3.0309969445283884,4.503522380060044
Riskiel Tineo,MIA,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.277981,0.109415,0.12579,,,,,,,,0.29218,,,,,,,,,,-0.0230627,999.0,,,,,,,5.229185271263122,,6.722422480583191,,,,,,,,,,,,,,,,,,,,Riskiel Tineo,sa3018375,805144,Pitcher,0.0,0.0,0.0,5.73282,0.0,0.0,0.0,,1.54448,7.0,1.0,5.41232,4.70774,1.14966,1.47577,0.0163755193352699,1.69078,0.680982,,,5.80427,-0.0170534,3.385715612174212,4.352534776157131
Eric Yang,CHC,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.269007,0.103523,0.133764,,,,,,,,0.277226,,,,,,,,,,-0.0230979,999.0,,,,,,,4.614295625686646,,4.550199747085571,,,,,,,,,,,,,,,,,,,,Eric Yang,27698,687066,Pitcher,0.0,0.0,0.0,5.76646,0.0,0.0,0.0,,1.11004,6.0,1.0,6.23379,4.8245,1.29211,1.92217,0.0302404761314392,1.76847,0.727249,,,6.31663,-0.0423611,4.156873478391141,4.099131521775317
Eduardo Uscanga,SEA,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.261085,0.102027,0.146618,,,,,,,,0.275868,,,,,,,,,,-0.0231302,999.0,,,,,,,5.935437083244325,,7.199619650840759,,,,,,,,,,,,,,,,,,,,Eduardo Uscanga,sa3076331,823786,Pitcher,0.0,0.0,0.0,5.33807,0.0,0.0,0.0,,1.63992,7.0,1.0,5.83107,4.05769,1.43704,1.50184,0.0445901975035667,1.4734,0.665912,,,5.51602,-0.0226809,3.619336832675968,4.390215618173543
