Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Soriano","LAA",5,4,8,3.81739,14,14,0,0,,81,348,75,37,34,7,36,,4,79,8.80724,4.01032,2.19615,0.770509,0.227217,0.103462,0.1237553283572197,0.241848,1.36721,0.304385,0.724688,,,3.74971,1.42715,1.51903,321.80999755859375,,,,,,,356.29999999999995,4.398765432098765,352,4.345679012345679,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"George Kirby","SEA",5,4,8,3.39317,14,14,0,0,,75,310,68,31,28,9,16,,3,72,8.64193,1.92853,4.48111,1.04667,0.233639,0.0521386,0.18150011077523232,0.234495,1.1181,0.283505,0.739375,,,3.46363,1.39722,1.43687,64.58000183105469,,,,,,,354.49999999999994,4.726666666666666,345,4.6,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Shane McClanahan","TBR",5,4,8,3.69894,14,14,0,0,,79,320,66,35,32,9,27,,4,77,8.77151,3.13843,2.79487,1.02719,0.239772,0.08579,0.1539819836616516,0.229968,1.19287,0.282735,0.72015,,,3.82216,1.37946,1.55425,182.99000549316406,,,,,,,363.29999999999995,4.5987341772151895,339,4.291139240506329,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Nolan McLean","NYM",6,4,8,3.54889,14,14,0,0,,76,328,66,33,30,8,31,,4,82,9.64024,3.68414,2.61668,0.94881,0.248902,0.0951213,0.1537809893488884,0.226154,1.27887,0.286366,0.74976,,,3.70975,1.35197,1.34362,87.29000091552734,,,,,,,351.4,4.623684210526315,335,4.407894736842105,,,,,,,,,,,,,,,,,,,"Nolan McLean","33703",690997
"Reid Detmers","LAA",5,3,8,3.76233,14,14,0,0,,76,321,66,35,32,11,26,,4,85,10.0915,3.07789,3.27872,1.24636,0.26523,0.0808943,0.18433577567338943,0.227255,1.21446,0.284557,0.742589,,,3.82861,1.34723,1.39466,350.4599914550781,,,,,,,335.5,4.4144736842105265,317,4.171052631578948,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Kevin Gausman","TOR",6,5,8,4.01294,15,15,0,0,,89,374,83,43,40,12,26,,4,84,8.51848,2.63188,3.23665,1.24977,0.22577,0.0697543,0.15601593255996704,0.241787,1.22462,0.286395,0.715988,,,4.02867,1.34411,1.28933,112.94999694824219,,,,,,,373.2,4.193258426966292,367,4.123595505617978,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Gavin Williams","CLE",5,4,8,3.62082,14,14,0,0,,78,334,67,34,31,9,32,,4,85,9.82365,3.63891,2.69961,1.00861,0.25611,0.0948692,0.1612408459186554,0.226124,1.26559,0.287574,0.745179,,,3.73877,1.31631,1.5139,144.74000549316406,,,,,,,354.3,4.542307692307692,335,4.294871794871795,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
"Sandy Alcantara","MIA",5,5,7,4.15341,14,14,0,0,,88,368,86,44,40,10,27,,4,72,7.45104,2.78243,2.67788,1.05355,0.197018,0.0735721,0.12344550341367722,0.254031,1.28663,0.296398,0.697027,,,4.03453,1.31087,1.15606,144.57000732421875,,,,,,,355.6,4.040909090909091,361,4.1022727272727275,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Nick Lodolo","CIN",5,4,7,3.9678,13,13,0,0,,72,306,68,35,32,10,22,,3,71,8.85638,2.69879,3.28161,1.24403,0.233063,0.0710209,0.1620418131351471,0.240414,1.23204,0.288174,0.722677,,,3.96907,1.30189,1.17233,127.94999694824219,,,,,,,300.00000000000006,4.166666666666668,297,4.125,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Aaron Nola","PHI",6,5,7,4.12643,14,14,0,0,,84,350,78,42,38,12,25,,4,81,8.73347,2.64267,3.30479,1.32636,0.232273,0.0702839,0.1619892492890358,0.242407,1.22441,0.287808,0.71078,,,4.09487,1.30055,1.13829,205.52999877929688,,,,,,,346.2,4.121428571428571,339,4.035714285714286,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Garrett Crochet","BOS",3,2,5,3.04098,8,8,0,0,,48,194,40,18,16,5,13,,2,57,10.7756,2.38802,4.51237,0.925619,0.296315,0.0656673,0.2306475043296814,0.220983,1.09025,0.296806,0.76216,,,2.97111,1.29741,1.38179,12.239999771118164,,,,,,,258.70000000000005,5.389583333333334,244,5.083333333333333,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"MacKenzie Gore","TEX",5,5,7,3.86066,14,14,0,0,,80,337,69,37,34,10,31,,4,86,9.72071,3.50182,2.7759,1.15652,0.255262,0.0919567,0.16330566257238388,0.229462,1.2597,0.28702,0.732714,,,3.92732,1.28413,1.33811,164.82000732421875,,,,,,,356.6,4.4575000000000005,337,4.2125,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Dustin May","STL",5,3,8,3.91215,22,14,0,0,,93,393,86,44,40,11,32,,4,86,8.33436,3.13872,2.65534,1.05138,0.218128,0.0821469,0.13598107546567917,0.241,1.27656,0.288919,0.72038,,,3.95885,1.25979,1.21481,414.6700134277344,,,,,,,393.30000000000007,4.2290322580645165,386,4.150537634408602,,,,,,,,,,,,,,,,,,,"Dustin May","19716",669160
"Tanner Bibee","CLE",5,5,8,3.89794,14,14,0,0,,85,356,78,40,37,11,25,,4,80,8.46332,2.6666,3.17383,1.19762,0.224015,0.0705819,0.15343274176120758,0.238972,1.21797,0.283324,0.722055,,,3.97768,1.2371,1.33658,188.6300048828125,,,,,,,363.90000000000003,4.281176470588235,355,4.176470588235294,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Mason Miller","SDP",3,2,0,1.90509,33,0,16,1,,33,128,18,8,7,3,13,,1,52,14.3937,3.58244,4.01784,0.691585,0.407543,0.101433,0.30610934644937515,0.160927,0.958146,0.267833,0.854665,,,2.23741,1.22491,1.42796,27.860000610351562,,,,,,,306.50000000000006,9.287878787878789,272,8.242424242424242,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
