Team,Player,Positions,Injury
Master Bader,Abner Uribe,"P,RP,BE,IL",ACTIVE
Master Bader,Robbie Ray,"P,SP,BE,IL",ACTIVE
Master Bader,Christian Walker,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Master Bader,Daylen Lile,"LF,RF,OF,UTIL,BE,IL,DH",ACTIVE
Master Bader,Edward Cabrera,"P,SP,BE,IL",FIFTEEN_DAY_DL
Master Bader,Bailey Ober,"P,SP,BE,IL",ACTIVE
Master Bader,Travis Bazzana,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Master Bader,Jackson Merrill,"CF,OF,UTIL,BE,IL",ACTIVE
Master Bader,Roman Anthony,"LF,RF,OF,UTIL,BE,IL,DH",SIXTY_DAY_DL
Master Bader,Giancarlo Stanton,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Master Bader,Kyle Harrison,"P,SP,BE,IL",FIFTEEN_DAY_DL
Master Bader,Xander Bogaerts,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Master Bader,Spencer Arrighetti,"P,SP,BE,IL",ACTIVE
Master Bader,Bryan Woo,"P,SP,BE,IL",ACTIVE
Master Bader,Davis Martin,"P,SP,BE,IL",ACTIVE
Master Bader,Matt Chapman,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Master Bader,Carson Kelly,"C,UTIL,BE,IL",ACTIVE
Master Bader,Ceddanne Rafaela,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL",ACTIVE
Master Bader,Carlos Cortes,"RF,OF,UTIL,BE,IL,DH,LF",ACTIVE
Master Bader,Shane Drohan,"P,SP,BE,IL,RP",ACTIVE
Master Bader,Blaze Jordan,"1B,3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Master Bader,Anthony Kay,"P,SP,BE,IL",ACTIVE
Master Bader,Cole Carrigg,"CF,OF,UTIL,BE,IL",ACTIVE
Master Bader,Troy Melton,"P,RP,BE,IL,SP",ACTIVE
Houck Tuah,Corbin Carroll,"RF,OF,UTIL,BE,IL",ACTIVE
Houck Tuah,Francisco Lindor,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Houck Tuah,Logan Webb,"P,SP,BE,IL",ACTIVE
Houck Tuah,Alex Bregman,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Houck Tuah,Andres Munoz,"P,RP,BE,IL",ACTIVE
Houck Tuah,Cody Bellinger,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Houck Tuah,Joe Ryan,"P,SP,BE,IL",ACTIVE
Houck Tuah,Kevin Gausman,"P,SP,BE,IL",ACTIVE
Houck Tuah,Sonny Gray,"P,SP,BE,IL",ACTIVE
Houck Tuah,Ozzie Albies,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Houck Tuah,Elly De La Cruz,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Houck Tuah,Brenton Doyle,"CF,OF,UTIL,BE,IL",TEN_DAY_DL
Houck Tuah,Gerrit Cole,"P,SP,BE,IL",ACTIVE
Houck Tuah,Tanner Bibee,"P,SP,BE,IL",ACTIVE
Houck Tuah,Mickey Moniak,"CF,RF,OF,UTIL,BE,IL,LF,DH",ACTIVE
Houck Tuah,Emmet Sheehan,"P,SP,BE,IL",ACTIVE
Houck Tuah,Samuel Basallo,"C,UTIL,BE,IL,DH",ACTIVE
Houck Tuah,Sal Stewart,"1B,3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
