Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Charles McAdoo","TOR",2,9.96504,9.07218,2.04221,1.34126,0.385336,0.0384905,0.277117,1.14441,1.0305,0.729518,0.0188867,2.65244,0.0782404,0.0640944,0.0210128,0.145993,0.216691,0.0364336,0.225107,0.0732077,0.266175,0.275036,0.286601,0.367704,0.288765,0.654305,0.142597,5.40417,0.284384,,0.0170507,0.955622,-0.227456,82.0179,0.0170507,0,-0.1938834097236395,0.03086419589817524,0.0194057,999,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Charles McAdoo","33323",807727
"Raynel Delgado","HOU",8,33.4074,30.3546,6.73091,4.86029,1.38278,0.0560047,0.431832,3.60755,2.54128,2.24203,0.0593021,7.79682,0.323702,0.207158,0.279879,0.577312,1.37884,0.236744,0.221743,0.0671119,0.233386,0.287557,0.280632,0.313666,0.266621,0.594298,0.091923,5.75662,0.282051,,0.139116,2.60607,-1.36015,66.7929,0.139116,0,-1.1667616218328476,0.16144348680973053,0.0184548,999,,,,,,,20,2.5,20,2.5,,,,,,,,,,,,,,,,,,,"Raynel Delgado","22272",669384
"Leo Rivas","SEA",2,7.02398,5.98662,1.24448,0.900063,0.222048,0.0171008,0.105265,0.773537,0.481259,0.834399,0.011499,1.80772,0.069555,0.0457748,0.0876342,0.106459,0.239153,0.0641484,0.207876,0.118793,0.257364,0.461575,0.309735,0.30343,0.281924,0.613165,0.0955538,5.29444,0.276547,,0.0118775,0.634763,-0.199144,83.2866,0.0118775,-0.01,-0.12631254736334085,0.051728395745158195,0.017774,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Leo Rivas","21009",660844
"Zac Veen","COL",9,36.5661,33.0708,8.18466,5.38262,1.78772,0.134914,0.879406,4.50634,3.99061,2.80036,0.0475714,8.80913,0.263663,0.23965,0.191622,0.604745,1.27126,0.195546,0.247489,0.0765835,0.24091,0.317893,0.309247,0.38948,0.308094,0.698727,0.141991,5.72009,0.309257,,0.129169,4.07758,-0.263652,79.9235,0.129169,0.15,-0.7495276927947998,-0.2666666507720947,0.0173537,743.6599731445312,,,,,,,37.9,4.211111111,37.9,4.211111111,,,,,,,,,,,,,,,,,,,"Zac Veen","27770",691728
"Petey Halpin","CLE",6,26.8607,24.6528,5.50555,3.71209,1.19461,0.0807696,0.518077,2.71586,2.61528,1.75464,0.0170957,7.13654,0.157779,0.193753,0.101689,0.354487,0.54516,0.132787,0.223323,0.0653237,0.265687,0.245867,0.277214,0.341378,0.274449,0.618592,0.118055,4.84712,0.290105,,0.0246006,2.26523,-0.923751,72.7777,0.0246006,0,-0.8361375201493502,0.046296291053295135,0.0167142,999,,,,,,,28.8,4.8,28.8,4.8,,,,,,,,,,,,,,,,,,,"Petey Halpin","27931",690984
"Seaver King","WSN",3,12.9192,11.9154,2.89221,2.09585,0.514977,0.0683117,0.213069,1.3544,1.2635,0.710179,0.0244272,2.91111,0.135473,0.0796993,0.078399,0.262097,0.276138,0.0518353,0.242728,0.0549709,0.225333,0.243955,0.291093,0.351059,0.284255,0.642152,0.108331,5.25962,0.302013,,0.0184266,1.19185,-0.341955,77.4375,0.0184266,0,-0.33046887069940567,0.069444440305233,0.0160862,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Seaver King","sa3025414",814409
"Juan Brito","CLE",2,9.9484,8.87949,2.01664,1.37108,0.455826,0.0145945,0.175144,0.99728,0.959743,0.8698,0.0346969,1.98284,0.0853731,0.0741239,0.0396095,0.166341,0.117686,0.0384198,0.227112,0.0874312,0.199312,0.438665,0.299917,0.340908,0.286274,0.640825,0.113796,3.53859,0.270982,,-0.00442236,0.934007,-0.247096,80.8928,-0.00442236,0,-0.2281801742501557,0.03086419589817524,0.015862,999,,,,,,,5.2,2.6,5.2,2.6,,,,,,,,,,,,,,,,,,,"Juan Brito","26693",682877
"Jacob Melton","TBR",9,38.2303,34.9228,7.33853,4.67389,1.72878,0.100256,0.8356,4.44002,3.39772,2.79035,0.0350709,11.3943,0.233915,0.20329,0.0799397,0.43148,1.98834,0.417049,0.210136,0.0729879,0.298045,0.244889,0.27163,0.337162,0.270778,0.608792,0.127026,6.39827,0.284019,,0.184982,3.11068,-1.42812,68.1792,0.184982,0.25,-1.2470307648181915,0.03535354137420654,0.0149001,727.5700073242188,,,,,,,32.2,3.577777777,32.2,3.577777777,,,,,,,,,,,,,,,,,,,"Jacob Melton","31661",689200
"Eduardo Valencia","DET",1,2.96306,2.70255,0.658483,0.442644,0.118015,0.0112662,0.0865582,0.330263,0.338441,0.198173,0.00980814,0.6354,0.0268392,0.0210472,0.014449,0.0595402,0.0122374,0.00318689,0.243652,0.0668812,0.214441,0.311887,0.299631,0.391743,0.302985,0.691374,0.14809,3.36259,0.285728,,-0.00233984,0.318188,-0.0335944,90.9173,-0.00233984,-0.01,-0.03401971934363246,0.06716049276292324,0.01406,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Eduardo Valencia","sa3006622",680664
"Jeferson Quero","MIL",1,3.00826,2.75297,0.65663,0.444569,0.129316,0.0115445,0.0712002,0.306057,0.354676,0.198439,0.00266279,0.609212,0.0255756,0.0237209,0.00755504,0.0496445,0.025925,0.00517064,0.238517,0.0659648,0.202513,0.325731,0.293479,0.371466,0.293399,0.664946,0.132949,3.87747,0.279271,,-0.000464266,0.299746,-0.0574035,84.3397,-0.000464266,0.02,-0.05685240533784963,0.09716049209237099,0.0140136,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Jeferson Quero","28272",691620
"Kyle Farmer","ATL",3,13.6856,12.4208,2.94587,2.04189,0.549614,0.0337741,0.32059,1.49114,1.45888,0.821751,0.00755363,2.98838,0.267172,0.0967614,0.02854,0.258554,0.106596,0.0465399,0.237172,0.0600449,0.21836,0.274982,0.296534,0.364291,0.29341,0.660825,0.12712,3.62096,0.285089,,-0.0143825,1.36377,-0.261026,83.1278,-0.0143825,-0.04,-0.2907629692927003,-0.01685185171663761,0.013881,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Kyle Farmer","14813",571657
"Gustavo Campero","LAA",1,2.92589,2.64512,0.632973,0.4378,0.127445,0.0143688,0.0533603,0.325664,0.260175,0.177115,0.00709055,0.540229,0.0672117,0.0213307,0.0151131,0.0547889,0.0931573,0.0223527,0.239298,0.0605338,0.184637,0.327853,0.301397,0.358863,0.293269,0.66026,0.119565,5.77333,0.279619,,0.00583742,0.291232,-0.0561381,83.3165,0.00583742,-0.01,-0.051623568404465914,0.06716049276292324,0.0121378,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Gustavo Campero","22707",672569
"MJ Melendez","NYM",8,33.2874,29.4259,6.11623,3.42412,1.32414,0.0685404,1.29943,3.87811,4.07358,3.26958,0.0616353,9.88343,0.311244,0.221014,0.0596478,0.395379,0.332941,0.108379,0.207852,0.0982228,0.296912,0.330814,0.291836,0.389987,0.300582,0.681823,0.182135,3.7946,0.260874,,-0.0148108,3.50993,-0.44204,91.721,-0.0148108,0,-0.34467197954654694,-0.6172839403152466,0.0120517,999,,,,,,,25.9,3.2375,25.9,3.2375,,,,,,,,,,,,,,,,,,,"MJ Melendez","22197",669004
