Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tayler Saucedo","LAA",0.704829,0.672495,0,4.46985,21,0,0,0.2996,,15.0005,66.0379,14.689,8.03,7.45,1.58686,6.66918,0.323868,0.972714,12.9363,7.76153,4.00137,1.93971,0.952086,0.195892,0.10099,0.0949019119143486,0.251541,1.42383,0.298639,0.696477,,,4.28445,0.0349434,-0.00508824,999,,,,,,,49.400000000000006,3.293333333333334,51,3.4,,,,,,,,,,,,,,,,,,,"Tayler Saucedo","17888",642048
"Brendan Beck","NYY",0.3274,0.210184,0,4.14178,8,0,0,0.3213,,5.62802,23.8706,4.90865,2.79,2.59,0.798013,2.02145,0.182304,0.266712,5.36282,8.5759,3.23258,2.65296,1.27614,0.224662,0.0846836,0.1399783343076706,0.227437,1.23136,0.266551,0.712229,,,4.26292,0.0344053,0.0182585,999,,,,,,,23.10000000000001,3.8500000000000014,21,3.5,,,,,,,,,,,,,,,,,,,"Brendan Beck","33043",694341
"Nestor German","BAL",0.285765,0.347152,0.293194,5.1,1,1,0,0,,4.8,20.8128,4.95296,2.91,2.72,0.837548,1.63706,0.0122957,0.177045,3.72174,6.97827,3.06949,2.27343,1.5704,0.17882,0.0786566,0.10016360878944397,0.260701,1.37292,0.285013,0.67929,,,4.95712,0.0340042,0.0160413,999,,,,,,,13.7,2.7399999999999998,14,2.8,,,,,,,,,,,,,,,,,,,"Nestor German","sa3023517",815148
"Ryan Ramsey","KCR",0.248029,0.400023,0.313831,5.31793,1,1,0,0,,4.891,21.649,5.16455,3.09,2.89,0.767646,1.95589,0.0138993,0.252044,3.48931,6.42073,3.59906,1.784,1.41256,0.161176,0.0903454,0.07083097845315933,0.265651,1.45582,0.289572,0.666658,,,5.07348,0.0339424,0.0160413,999,,,,,,,11.7,2.34,12,2.4,,,,,,,,,,,,,,,,,,,"Ryan Ramsey","sa3020605",687547
"Hunter Stratton","PIT",0.580934,0.6271,0,4.96194,19,0,0,0.2984,,11.7353,52.1764,12.2016,6.96,6.47,1.53036,4.72777,0.248297,0.803661,10.1345,7.77227,3.6258,2.1436,1.17365,0.194234,0.0906111,0.10362324118614197,0.261585,1.4426,0.305066,0.674204,,,4.48782,0.033853,-0.0647212,999,,,,,,,35.000000000000014,2.916666666666668,36,3,,,,,,,,,,,,,,,,,,,"Hunter Stratton","23455",676702
"Wandy Peralta","SDP",0.869608,0.777697,0,3.98918,27,0,0,3.4402,,18.7031,80.82,17.3866,8.97,8.29,1.78619,7.5493,0.399107,1.35821,13.1274,6.31693,3.63275,1.73888,0.859519,0.162427,0.0934089,0.06901825964450836,0.241774,1.33325,0.273696,0.711643,,,4.37221,0.0338084,0.108716,999,,,,,,,82.8,4.3578947368421055,80,4.2105263157894735,,,,,,,,,,,,,,,,,,,"Wandy Peralta","14295",593974
"Cole Wilcox","SEA",0.352997,0.271069,0,4.68519,9,0,0,3.2849,,7.03067,31.1227,7.15855,3.94,3.66,0.73518,2.93627,0.203671,0.51378,6.23626,7.98307,3.75874,2.12387,0.941108,0.200377,0.094345,0.10603151470422745,0.258687,1.43583,0.31029,0.678923,,,4.16318,0.0337109,-0.0293138,999,,,,,,,33.3,4.757142857142857,34,4.857142857142857,,,,,,,,,,,,,,,,,,,"Cole Wilcox","27481",677961
"Hayden Harris","ATL",0.792421,0.705843,0,5.08205,23,0,0,0.3261,,16.7354,74.6221,17.0043,10.18,9.45,2.54902,7.3851,0.334069,0.870592,17.3873,9.35058,3.97158,2.35437,1.37082,0.233004,0.0989667,0.13403759896755219,0.256219,1.45736,0.311335,0.682463,,,4.48776,0.0331368,-0.0999966,999,,,,,,,54.7,3.2176470588235295,56,3.2941176470588234,,,,,,,,,,,,,,,,,,,"Hayden Harris","31913",802686
"Yovanny Cruz","NYY",0.793604,0.541361,0,4.39061,20,0,0,0.3213,,13.9183,60.636,12.2395,7.31,6.79,1.91727,6.3788,0.473114,1.04364,14.6306,9.46058,4.12472,2.29363,1.23976,0.241286,0.105198,0.13608764857053757,0.230006,1.33768,0.281522,0.70969,,,4.39394,0.0320191,0.0426029,999,,,,,,,56.800000000000026,4.057142857142859,53,3.7857142857142856,,,,,,,,,,,,,,,,,,,"Yovanny Cruz","22622",672442
"Andrew Nardi","MIA",0.148504,0.155066,0,4.16552,5,0,0,0.3029,,3.54337,15.1883,3.11731,1.77,1.64,0.464555,1.44272,0.0684507,0.161072,3.96199,10.0633,3.66443,2.7462,1.17995,0.260857,0.0949883,0.16586867719888687,0.229474,1.28692,0.289664,0.713625,,,3.93161,0.0319028,0.0121724,999,,,,,,,26.8,6.7,25,6.25,,,,,,,,,,,,,,,,,,,"Andrew Nardi","25942",677053
